id	title	description	availability	condition	price	link	image_link	quantity_to_sell_on_facebook	brand	isv	net_price
A74100	"Lonchera lol surprise troop"	"Lonchera lol surprise troop"	"in stock"	new	527.00	https://acosa.com.hn/product/lonchera-lol-surprise-troop	https://acosa.com.hn/wp-content/uploads/2024/01/A74100.webp	25	Disney	1.15	458.26
A74104	"Lonchera lol surprise"	"Lonchera lol surprise"	"in stock"	new	377.00	https://acosa.com.hn/product/lonchera-lol-surprise-2	https://acosa.com.hn/wp-content/uploads/2024/01/A74104.webp	26	Disney	1.15	327.83
A74105	"Lapicero triangular rainbow high silver"	"Lapicero triangular rainbow high silver"	"in stock"	new	188.00	https://acosa.com.hn/product/lonchera-triangular-rainbow-high-silver	https://acosa.com.hn/wp-content/uploads/2024/01/A74105.webp	124	Disney	1.15	163.48
A74106	"Mochila c/rodos rainbow high silver"	"Mochila c/rodos rainbow high silver"	"in stock"	new	1203.00	https://acosa.com.hn/product/mochila-c-rodos-rainbow-high-silver	https://acosa.com.hn/wp-content/uploads/2024/01/A74106.webp	27	Disney	1.15	1046.09
A74107	"Mochila rainbow high silver"	"Mochila rainbow high silver"	"in stock"	new	902.00	https://acosa.com.hn/product/mochila-rainbow-high-silver	https://acosa.com.hn/wp-content/uploads/2024/01/A74107.webp	29	Disney	1.15	784.35
A74109	"Mochila c/rodos my little pony"	"Mochila c/rodos my little pony"	"in stock"	new	1140.00	https://acosa.com.hn/product/mochila-c-rodos-my-little-pony	https://acosa.com.hn/wp-content/uploads/2024/01/A74109.webp	43	Disney	1.15	991.3
A74110	"Mochila my little pony"	"Mochila my little pony"	"in stock"	new	760.00	https://acosa.com.hn/product/mochila-my-little-pony-2	https://acosa.com.hn/wp-content/uploads/2024/01/A74110.webp	51	Disney	1.15	660.87
A74127	"Mochila star wars + lapicero surtido"	"Mochila star wars + lapicero surtido"	"in stock"	new	760.00	https://acosa.com.hn/product/mochila-star-wars-lapicero	https://acosa.com.hn/wp-content/uploads/2024/01/A74127.webp	82	Disney	1.15	660.87
A74128	"Lapicero grogu"	"Lapicero grogu"	"in stock"	new	228.00	https://acosa.com.hn/product/lapicero-grogu	https://acosa.com.hn/wp-content/uploads/2024/01/A74128.webp	52	Disney	1.15	198.26
A74129	"Mochila  c/rodos grogu"	"Mochila  c/rodos grogu"	"in stock"	new	1216.00	https://acosa.com.hn/product/mochila-c-rodos-grogu	https://acosa.com.hn/wp-content/uploads/2024/01/A74129.webp	76	Disney	1.15	1057.39
A74130	"Mochila grogu"	"Mochila grogu"	"in stock"	new	760.00	https://acosa.com.hn/product/mochila-grogu	https://acosa.com.hn/wp-content/uploads/2024/01/A74130.webp	77	Disney	1.15	660.87
A74131	"Lonchera grogu"	"Lonchera grogu"	"in stock"	new	489.00	https://acosa.com.hn/product/lonchera-grogu	https://acosa.com.hn/wp-content/uploads/2024/01/A74131.webp	32	Disney	1.15	425.22
A73969	"Mochila encanto c/rodos"	"Mochila encanto c/rodos"	"in stock"	new	625.00	https://acosa.com.hn/product/mochila-encanto-c-rodos	https://acosa.com.hn/wp-content/uploads/2024/01/M30-03365.webp	4	Disney	1.15	543.48
A73786	"Lapicero rayo mcqueen af-c-pch3"	"Lapicero rayo mcqueen af-c-pch3"	"in stock"	new	89.00	https://acosa.com.hn/product/lapicero-1-deposito-rayo-mcqueen	https://acosa.com.hn/wp-content/uploads/2024/04/AF-C-PCH3.webp	7	Disney	1.15	77.39
A72270	"Lapicero encanto 2 depositos 02305"	"Lapicero encanto 2 depositos 02305"	"in stock"	new	167.00	https://acosa.com.hn/product/lapicero-encanto-2-depositos-02305	https://acosa.com.hn/wp-content/uploads/2024/06/M29-02305.webp	3	Disney	1.15	145.22
A72273	"Lonchera spiderman"	"Lonchera spiderman"	"in stock"	new	223.00	https://acosa.com.hn/product/lonchera-spiderman-5	https://acosa.com.hn/wp-content/uploads/2024/06/744-51353.webp	25	Disney	1.15	193.91
A73785	"Lonchera rayo mcqueen con accesorios"	"Lonchera rayo mcqueen con accesorios"	"in stock"	new	222.00	https://acosa.com.hn/product/lonchera-rayo-mcqueen-con-accesorios	https://acosa.com.hn/wp-content/uploads/2024/06/AF-C-LA3.webp	72	Disney	1.15	193.04
A74077	"Mochila c/rodos 16 minnie"	"Mochila c/rodos 16 minnie"	"in stock"	new	547.84	https://acosa.com.hn/product/mochila-c-rodos-16-minnie	https://acosa.com.hn/wp-content/uploads/2024/06/089-03312.webp	4	Disney	1.15	476.38
A74079	"Mochila 16 frozen"	"Mochila 16 frozen"	"in stock"	new	358.96	https://acosa.com.hn/product/mochila-16-frozen	https://acosa.com.hn/wp-content/uploads/2024/06/087-03324.webp	58	Disney	1.15	312.14
A74084	"Mochila c/rodos 18 cars"	"Mochila c/rodos 18 cars"	"in stock"	new	698.96	https://acosa.com.hn/product/mochila-c-rodos-18-cars	https://acosa.com.hn/wp-content/uploads/2024/06/091-03354C.webp	18	Disney	1.15	607.79
A74085	"Mochila 16 minnie"	"Mochila 16 minnie"	"in stock"	new	358.96	https://acosa.com.hn/product/mochila-16-minnie	https://acosa.com.hn/wp-content/uploads/2024/06/089-03311.webp	8	Disney	1.15	312.14
A74087	"Lonchera encanto"	"Lonchera encanto"	"in stock"	new	503.00	https://acosa.com.hn/product/lonchera-encanto-2	https://acosa.com.hn/wp-content/uploads/2024/06/M28-03344.webp	36	Disney	1.15	437.39
A74088	"Lapicero encanto 2 depositos 03345"	"Lapicero encanto 2 depositos 03345"	"in stock"	new	251.00	https://acosa.com.hn/product/lapicero-encanto-2-depositos-03345	https://acosa.com.hn/wp-content/uploads/2024/06/M29-03345.webp	33	Disney	1.15	218.26
A74089	"Mochila c/rodos 18 encanto"	"Mochila c/rodos 18 encanto"	"in stock"	new	698.96	https://acosa.com.hn/product/mochila-c-rodos-18-encanto	https://acosa.com.hn/wp-content/uploads/2024/06/M30-03343.webp	26	Disney	1.15	607.79
A75097	"Termo plastico 500 ml minnie"	"Termo plastico 500 ml minnie"	"in stock"	new	164.00	https://acosa.com.hn/product/termo-plastico-500-ml-minnie	https://acosa.com.hn/wp-content/uploads/2024/06/DH-MI-B247.webp	5	Disney	1.15	142.61
A75102	"Termo aluminio 500 ml ariel"	"Termo aluminio 500 ml ariel"	"in stock"	new	223.00	https://acosa.com.hn/product/termo-aluminio-500-ml-ariel	https://acosa.com.hn/wp-content/uploads/2024/06/PH-PR-AB824.webp	3	Disney	1.15	193.91
A75109	"Termo plastico 500 ml frozen"	"Termo plastico 500 ml frozen"	"in stock"	new	149.01	https://acosa.com.hn/product/termo-plastico-500-ml-frozen	https://acosa.com.hn/wp-content/uploads/2024/06/IH-F-475A.webp	6	Disney	1.15	129.57
A72268	"Lapicero mickey  2 depositos 02271"	"Lapicero mickey  2 depositos 02271"	"in stock"	new	155.00	https://acosa.com.hn/product/lapicero-mickey-2-depositos-02271	https://acosa.com.hn/wp-content/uploads/2024/07/073-02271.webp	1	Disney	1.15	134.78
A74086	"Lonchera frozen"	"Lonchera frozen"	"in stock"	new	503.00	https://acosa.com.hn/product/lonchera-frozen	https://acosa.com.hn/wp-content/uploads/2024/08/065-03327.webp	45	Disney	1.15	437.39
